measured_variable,codeset_id,unit,harmonized_unit,measurement_concept_name,conversion_formula
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase enzyme activity in plasma,x
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase 3 [Enzymatic activity/volume] in Serum or Plasma,x
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase 1 [Enzymatic activity/volume] in Serum or Plasma,x
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,x
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase 1 enzyme activity in plasma,x
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase 2 [Enzymatic activity/volume] in Serum or Plasma,x
"Lactate, U/L",400660753,milliequivalent per liter,millimole per liter,Lactate [Moles/volume] in Plasma venous,x
"Lactate, U/L",400660753,milliequivalent per liter,millimole per liter,Lactate [Moles/volume] in Capillary blood,x
"Lactate, U/L",400660753,milligram per deciliter,millimole per liter,Lactate [Moles/volume] in Venous blood,x*0.111
"Lactate, U/L",400660753,milliequivalent per liter,millimole per liter,Lactate [Moles/volume] in Venous blood,x
"Lactate, U/L",400660753,milligram per deciliter,millimole per liter,Lactate [Mass/volume] in Serum or Plasma,x*0.111
"Lactate, U/L",400660753,milliequivalent per liter,millimole per liter,Lactate [Mass/volume] in Serum or Plasma,x
"Lactate, U/L",400660753,nanomole per milliliter,millimole per liter,Lactate [Moles/volume] in Serum or Plasma,x*0.001
"Lactate, U/L",400660753,milligram per deciliter,millimole per liter,Lactate [Moles/volume] in Serum or Plasma,x*0.111
"Lactate, U/L",400660753,milliequivalent per liter,millimole per liter,Lactate [Moles/volume] in Serum or Plasma,x
"Lactate, U/L",400660753,micromole per liter,millimole per liter,Lactate [Moles/volume] in Serum or Plasma,x*0.001
"Lactate, U/L",400660753,milliequivalent per liter,millimole per liter,Lactate [Moles/volume] in Blood,x
"Lactate, U/L",400660753,milligram per deciliter,millimole per liter,Lactate [Mass/volume] in Blood,x*0.111
"Lactate, U/L",400660753,milliequivalent per liter,millimole per liter,Lactate [Moles/volume] in Arterial blood,x
"Lactate, U/L",400660753,milligram per deciliter,millimole per liter,Lactate [Mass/volume] in Venous blood,x*0.111
"Lactate, U/L",400660753,milliequivalent per liter,millimole per liter,Lactate [Mass/volume] in Venous blood,x
"Lactate, U/L",400660753,milliequivalent per liter,millimole per liter,Lactate [Moles/volume] in Mixed venous blood,x
"Lymphocytes (absolute), x10E3/uL",627523060,per microliter,thousand per microliter,Lymphocytes [#/volume] in Blood by Flow cytometry (FC),x*0.001
"Lymphocytes (absolute), x10E3/uL",627523060,billion per liter,thousand per microliter,Lymphocytes [#/volume] in Blood by Flow cytometry (FC),x
"Lymphocytes (absolute), x10E3/uL",627523060,per microliter,thousand per microliter,Lymphocytes [#/volume] in Blood by Automated count,x*0.001
"Lymphocytes (absolute), x10E3/uL",627523060,kilounit per liter,thousand per microliter,Lymphocytes [#/volume] in Blood by Automated count,None
"Lymphocytes (absolute), x10E3/uL",627523060,cells per microliter,thousand per microliter,Lymphocytes [#/volume] in Blood by Automated count,x*0.001
"Lymphocytes (absolute), x10E3/uL",627523060,billion per liter,thousand per microliter,Lymphocytes [#/volume] in Blood by Automated count,x
"Lymphocytes (absolute), x10E3/uL",627523060,10*9/L,thousand per microliter,Lymphocytes [#/volume] in Blood by Automated count,x
"Lymphocytes (absolute), x10E3/uL",627523060,10*9 Platelets/L,thousand per microliter,Lymphocytes [#/volume] in Blood by Automated count,x
"Lymphocytes (absolute), x10E3/uL",627523060,thousand per cubic millimeter,thousand per microliter,Lymphocytes [#/volume] in Blood,x
"Lymphocytes (absolute), x10E3/uL",627523060,per microliter,thousand per microliter,Lymphocytes [#/volume] in Blood,x*0.001
"Lymphocytes (absolute), x10E3/uL",627523060,cells per microliter,thousand per microliter,Lymphocytes [#/volume] in Blood,x*0.001
"Lymphocytes (absolute), x10E3/uL",627523060,billion per liter,thousand per microliter,Lymphocytes [#/volume] in Blood,x
"Lymphocytes (absolute), x10E3/uL",627523060,per microliter,thousand per microliter,Lymphocytes [#/volume] in Blood by Manual count,x*0.001
"Lymphocytes (absolute), x10E3/uL",627523060,cells per microliter,thousand per microliter,Lymphocytes [#/volume] in Blood by Manual count,x*0.001
"Lymphocytes (absolute), x10E3/uL",627523060,billion per liter,thousand per microliter,Lymphocytes [#/volume] in Blood by Manual count,x
"Lymphocytes (absolute), x10E3/uL",627523060,10*9/L,thousand per microliter,Lymphocytes [#/volume] in Blood by Manual count,x
"Lymphocytes (relative), %",45416701,percent of white blood cells,percent,Lymphocytes/100 leukocytes in Blood by Automated count,x
"Neutrophils (absolute), x10E3/uL",881397271,thousand per liter,thousand per microliter,Neutrophils [#/volume] in Blood,x*0.000001
"Neutrophils (absolute), x10E3/uL",881397271,per microliter,thousand per microliter,Neutrophils [#/volume] in Blood,x*0.001
"Neutrophils (absolute), x10E3/uL",881397271,cells per microliter,thousand per microliter,Neutrophils [#/volume] in Blood,x*0.001
"Neutrophils (absolute), x10E3/uL",881397271,billion per liter,thousand per microliter,Neutrophils [#/volume] in Blood,x
"Neutrophils (absolute), x10E3/uL",881397271,thousand per liter,thousand per microliter,Neutrophils [#/volume] in Blood by Manual count,x*0.000001
"Neutrophils (absolute), x10E3/uL",881397271,per microliter,thousand per microliter,Neutrophils [#/volume] in Blood by Manual count,x*0.001
"Neutrophils (absolute), x10E3/uL",881397271,cells per microliter,thousand per microliter,Neutrophils [#/volume] in Blood by Manual count,x*0.001
"Neutrophils (absolute), x10E3/uL",881397271,billion per liter,thousand per microliter,Neutrophils [#/volume] in Blood by Manual count,x
"Neutrophils (absolute), x10E3/uL",881397271,10*9/L,thousand per microliter,Neutrophils [#/volume] in Blood by Manual count,x
"Neutrophils (absolute), x10E3/uL",881397271,thousand per liter,thousand per microliter,Neutrophils [#/volume] in Blood by Automated count,x*0.000001
"Neutrophils (absolute), x10E3/uL",881397271,thousand per cubic millimeter,thousand per microliter,Neutrophils [#/volume] in Blood by Automated count,x
"Neutrophils (absolute), x10E3/uL",881397271,per microliter,thousand per microliter,Neutrophils [#/volume] in Blood by Automated count,x*0.001
"Neutrophils (absolute), x10E3/uL",881397271,kilounit per liter,thousand per microliter,Neutrophils [#/volume] in Blood by Automated count,None
"Neutrophils (absolute), x10E3/uL",881397271,cells per microliter,thousand per microliter,Neutrophils [#/volume] in Blood by Automated count,x*0.001
"Neutrophils (absolute), x10E3/uL",881397271,billion per liter,thousand per microliter,Neutrophils [#/volume] in Blood by Automated count,x
"Neutrophils (absolute), x10E3/uL",881397271,10*9/L,thousand per microliter,Neutrophils [#/volume] in Blood by Automated count,x
"Neutrophils (absolute), x10E3/uL",881397271,10*9 Platelets/L,thousand per microliter,Neutrophils [#/volume] in Blood by Automated count,x
"NT pro BNP, pg/mL",561166072,nanogram per liter,picogram per milliliter,N terminal pro-brain natriuretic peptide level,x
"NT pro BNP, pg/mL",561166072,nanogram per liter,picogram per milliliter,Natriuretic peptide.B prohormone N-Terminal [Moles/volume] in Serum or Plasma,x
"NT pro BNP, pg/mL",561166072,nanogram per liter,picogram per milliliter,Serum N-terminal pro B-type natriuretic peptide concentration measurement,x
"NT pro BNP, pg/mL",561166072,nanogram per liter,picogram per milliliter,Natriuretic peptide.B prohormone N-Terminal [Moles/volume] in Serum or Plasma by Immunoassay,x
"NT pro BNP, pg/mL",561166072,nanogram per liter,picogram per milliliter,Natriuretic peptide.B prohormone N-Terminal | Blood | Chemistry - non-challenge,x
"NT pro BNP, pg/mL",561166072,nanogram per liter,picogram per milliliter,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Blood by Immunoassay,x
"NT pro BNP, pg/mL",561166072,nanogram per liter,picogram per milliliter,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,x
"NT pro BNP, pg/mL",561166072,nanogram per liter,picogram per milliliter,Natriuretic peptide.B prohormone N-Terminal | Serum or Plasma | Chemistry - non-challenge,x
"NT pro BNP, pg/mL",561166072,nanogram per liter,picogram per milliliter,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma by Immunoassay,x
"NT pro BNP, pg/mL",561166072,nanogram per liter,picogram per milliliter,Plasma N-terminal pro B-type natriuretic peptide concentration measurement,x
"Platelet count, x10E3/uL",167697906,thousand per milliliter,thousand per microliter,Platelets [#/volume] in Blood by Automated count,x*0.001
"Platelet count, x10E3/uL",167697906,thousand per liter,thousand per microliter,Platelets [#/volume] in Blood by Automated count,x*0.000001
"Platelet count, x10E3/uL",167697906,thousand per cubic millimeter,thousand per microliter,Platelets [#/volume] in Blood by Automated count,x
"Platelet count, x10E3/uL",167697906,million per microliter,thousand per microliter,Platelets [#/volume] in Blood by Automated count,x*1000
"Platelet count, x10E3/uL",167697906,kilounit per liter,thousand per microliter,Platelets [#/volume] in Blood by Automated count,None
"Platelet count, x10E3/uL",167697906,billion per liter,thousand per microliter,Platelets [#/volume] in Blood by Automated count,x
"Platelet count, x10E3/uL",167697906,billion cells per liter,thousand per microliter,Platelets [#/volume] in Blood by Automated count,x
"Platelet count, x10E3/uL",167697906,10*9/L,thousand per microliter,Platelets [#/volume] in Blood by Automated count,x
"Platelet count, x10E3/uL",167697906,10*9 Platelets/L,thousand per microliter,Platelets [#/volume] in Blood by Automated count,x
"Platelet count, x10E3/uL",167697906,thousand per milliliter,thousand per microliter,Platelets [#/volume] in Plasma,x*0.001
"Platelet count, x10E3/uL",167697906,thousand per liter,thousand per microliter,Platelets [#/volume] in Plasma,x*0.000001
"Platelet count, x10E3/uL",167697906,million per microliter,thousand per microliter,Platelets [#/volume] in Plasma,x*1000
"Platelet count, x10E3/uL",167697906,billion cells per liter,thousand per microliter,Platelets [#/volume] in Plasma,x
"Platelet count, x10E3/uL",167697906,thousand per milliliter,thousand per microliter,Platelets [#/volume] in Blood by Estimate,x*0.001
"Platelet count, x10E3/uL",167697906,thousand per liter,thousand per microliter,Platelets [#/volume] in Blood by Estimate,x*0.000001
"Platelet count, x10E3/uL",167697906,million per microliter,thousand per microliter,Platelets [#/volume] in Blood by Estimate,x*1000
"Platelet count, x10E3/uL",167697906,billion cells per liter,thousand per microliter,Platelets [#/volume] in Blood by Estimate,x
"Platelet count, x10E3/uL",167697906,thousand per milliliter,thousand per microliter,Platelets [#/volume] in Plasma by Automated count,x*0.001
"Platelet count, x10E3/uL",167697906,thousand per liter,thousand per microliter,Platelets [#/volume] in Plasma by Automated count,x*0.000001
"Platelet count, x10E3/uL",167697906,million per microliter,thousand per microliter,Platelets [#/volume] in Plasma by Automated count,x*1000
"Platelet count, x10E3/uL",167697906,billion cells per liter,thousand per microliter,Platelets [#/volume] in Plasma by Automated count,x
"Platelet count, x10E3/uL",167697906,thousand per milliliter,thousand per microliter,Platelets [#/volume] in Blood by Manual count,x*0.001
"Platelet count, x10E3/uL",167697906,thousand per liter,thousand per microliter,Platelets [#/volume] in Blood by Manual count,x*0.000001
"Platelet count, x10E3/uL",167697906,million per microliter,thousand per microliter,Platelets [#/volume] in Blood by Manual count,x*1000
"Platelet count, x10E3/uL",167697906,billion per liter,thousand per microliter,Platelets [#/volume] in Blood by Manual count,x
"Platelet count, x10E3/uL",167697906,billion cells per liter,thousand per microliter,Platelets [#/volume] in Blood by Manual count,x
"Platelet count, x10E3/uL",167697906,thousand per milliliter,thousand per microliter,Platelets [#/volume] in Blood,x*0.001
"Platelet count, x10E3/uL",167697906,thousand per liter,thousand per microliter,Platelets [#/volume] in Blood,x*0.000001
"Platelet count, x10E3/uL",167697906,thousand per cubic millimeter,thousand per microliter,Platelets [#/volume] in Blood,x
"Platelet count, x10E3/uL",167697906,million per microliter,thousand per microliter,Platelets [#/volume] in Blood,x*1000
"Platelet count, x10E3/uL",167697906,billion per liter,thousand per microliter,Platelets [#/volume] in Blood,x
"Platelet count, x10E3/uL",167697906,billion cells per liter,thousand per microliter,Platelets [#/volume] in Blood,x
"Platelet count, x10E3/uL",167697906,thousand per milliliter,thousand per microliter,Platelets [#/volume] in Capillary blood by Manual count,x*0.001
"Platelet count, x10E3/uL",167697906,thousand per liter,thousand per microliter,Platelets [#/volume] in Capillary blood by Manual count,x*0.000001
"Platelet count, x10E3/uL",167697906,million per microliter,thousand per microliter,Platelets [#/volume] in Capillary blood by Manual count,x*1000
"Platelet count, x10E3/uL",167697906,billion cells per liter,thousand per microliter,Platelets [#/volume] in Capillary blood by Manual count,x
"Potassium, mmol/L",622316047,milliequivalent per liter,millimole per liter,Potassium [Moles/volume] in Blood,x
"Potassium, mmol/L",622316047,milliequivalent per liter,millimole per liter,Potassium [Moles/volume] in Capillary blood,x
"Potassium, mmol/L",622316047,milliequivalent per liter,millimole per liter,Potassium [Moles/volume] in Venous blood,x
"Potassium, mmol/L",622316047,milliequivalent per liter,millimole per liter,Potassium [Moles/volume] in Serum or Plasma,x
"Potassium, mmol/L",622316047,milliequivalent per liter,millimole per liter,Potassium [Moles/volume] in Arterial blood,x
"Potassium, mmol/L",622316047,milliequivalent per liter,millimole per liter,Potassium [Moles/volume] in Mixed venous blood,x
Respiratory rate,286601963,per minute,counts per minute,Respiratory rate,x
Respiratory rate,286601963,minute,counts per minute,Respiratory rate,x
"Sodium, mmol/L",887473517,milliequivalent per liter,millimole per liter,Sodium [Moles/volume] in Serum or Plasma,x
"Sodium, mmol/L",887473517,milliequivalent per liter,millimole per liter,Sodium [Moles/volume] in Capillary blood,x
"Sodium, mmol/L",887473517,milliequivalent per liter,millimole per liter,"Sodium [Moles/volume] in Serum, Plasma or Blood",x
"Sodium, mmol/L",887473517,milliequivalent per deciliter,millimole per liter,"Sodium [Moles/volume] in Serum, Plasma or Blood",x*10
"Sodium, mmol/L",887473517,milliequivalent per liter,millimole per liter,Sodium [Moles/volume] in Venous blood,x
"Sodium, mmol/L",887473517,milliequivalent per liter,millimole per liter,Sodium [Moles/volume] in Arterial blood,x
"Sodium, mmol/L",887473517,milliequivalent per liter,millimole per liter,Sodium [Moles/volume] in Blood,x
SpO2,780678652,percent saturation,percent,Oxygen saturation in Arterial blood by Pulse oximetry,x
SpO2,780678652,percent saturation,percent,Oxygen saturation in Blood,x
SpO2,780678652,percent saturation,percent,Oxygen saturation Calculated from oxygen partial pressure in Blood,x
SpO2,780678652,percent saturation,percent,Oxygen saturation in Capillary blood,x
SpO2,780678652,percent saturation,percent,Oxygen saturation Calculated from oxygen partial pressure in Arterial blood,x
SpO2,780678652,percent saturation,percent,Oxygen saturation in Arterial blood,x
SpO2,780678652,percent saturation,percent,Measurement of oxygen saturation at periphery,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Systolic blood pressure by palpation,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Standing systolic blood pressure,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Target systolic blood pressure,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Systolic blood pressure on admission,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Sitting systolic blood pressure,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Systolic blood pressure of neonate at birth,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Invasive Systolic blood pressure,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Lying systolic blood pressure,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Baseline systolic blood pressure,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Systolic arterial pressure,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Brachial artery Systolic blood pressure,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,24 hour systolic blood pressure,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Systolic blood pressure,x
Systolic blood pressure,186465804,millimeter,millimeter mercury column,Systolic blood pressure,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Systolic blood pressure centile,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Systolic blood pressure by Noninvasive,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Ambulatory systolic blood pressure,x
Systolic blood pressure,186465804,mmHg,millimeter mercury column,Systolic blood pressure by Continuous non-invasive monitoring,x
Temperature,656562966,Fahrenheit,degree Celsius,Tympanic temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Tympanic temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Body temperature - Intravascular,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Body temperature - Intravascular,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,O/E - tympanic temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,O/E - tympanic temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Core body temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Core body temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Bladder temperature via Foley,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Bladder temperature via Foley,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Body temperature taken with digital thermometer,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Body temperature taken with digital thermometer,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Forehead temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Forehead temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Oral temperature taking,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Oral temperature taking,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Nasopharyngeal temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Nasopharyngeal temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Esophageal temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Esophageal temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Rectal temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Rectal temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Body temperature finding,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Body temperature finding,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Nasal temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Nasal temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Tympanic membrane temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Tympanic membrane temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Axillary temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Axillary temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Oral temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Oral temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Measurement of temperature using tympanic thermometer,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Measurement of temperature using tympanic thermometer,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Body temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Body temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Measurement of temperature using skin strip thermometer,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Measurement of temperature using skin strip thermometer,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Body temperature - Core,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Body temperature - Core,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Ear temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Ear temperature,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Body temperature - Temporal artery,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Body temperature - Temporal artery,(x-32)*(5/9)
Temperature,656562966,Fahrenheit,degree Celsius,Basal body temperature,(x-32)*(5/9)
Temperature,656562966,degree Fahrenheit,degree Celsius,Basal body temperature,(x-32)*(5/9)
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Plasma troponin I measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Plasma troponin I measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Plasma troponin I measurement,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Plasma troponin I measurement,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Plasma troponin I measurement,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Plasma troponin I measurement,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,"Troponin I.cardiac | Serum, Plasma or Blood | Chemistry - non-challenge",x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,"Troponin I.cardiac | Serum, Plasma or Blood | Chemistry - non-challenge",x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,"Troponin I.cardiac | Serum, Plasma or Blood | Chemistry - non-challenge",x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,"Troponin I.cardiac | Serum, Plasma or Blood | Chemistry - non-challenge",x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,"Troponin I.cardiac | Serum, Plasma or Blood | Chemistry - non-challenge",x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,"Troponin I.cardiac | Serum, Plasma or Blood | Chemistry - non-challenge",x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I.cardiac | Bld-Ser-Plas,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I.cardiac | Bld-Ser-Plas,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I.cardiac | Bld-Ser-Plas,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I.cardiac | Bld-Ser-Plas,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I.cardiac | Bld-Ser-Plas,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I.cardiac | Bld-Ser-Plas,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,"Troponin, quantitative",x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,"Troponin, quantitative",x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,"Troponin, quantitative",x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,"Troponin, quantitative",x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,"Troponin, quantitative",x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,"Troponin, quantitative",x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Serum troponin I measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Serum troponin I measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Serum troponin I measurement,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Serum troponin I measurement,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Serum troponin I measurement,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Serum troponin I measurement,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I.cardiac [Units/volume] in Serum or Plasma,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I.cardiac [Units/volume] in Serum or Plasma,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I.cardiac [Units/volume] in Serum or Plasma,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I.cardiac [Units/volume] in Serum or Plasma,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I.cardiac [Units/volume] in Serum or Plasma,x*10000
